Team_USA_Sport,First_Name,Last_Name,Gender,School_Name,Collegiate_Sport,Sport_Level,Current Student-Athlete
Archery,Casey,Kaufhold,F,Texas A&M University--College Station,Archery,Club/Rec,
Artistic Gymnastics,Asher,Hong,M,Stanford University,Gymnastics,NCAA-Varsity,Current
Artistic Gymnastics,Brody,Malone,M,Stanford University,Gymnastics,NCAA-Varsity,
Artistic Gymnastics,Frederick,Richard,M,University of Michigan--Ann Arbor,Gymnastics,NCAA-Varsity,
Artistic Gymnastics,Jade,Carey,F,Oregon State University,Gymnastics,NCAA-Varsity,Current
Artistic Gymnastics,Jordan,Chiles,F,University of California--Los Angeles,Gymnastics,NCAA-Varsity,
Artistic Gymnastics,Paul,Juda,M,University of Michigan--Ann Arbor,Gymnastics,NCAA-Varsity,
Artistic Gymnastics,Stephen,Nedoroscik,M,Pennsylvania State University--University Park,Gymnastics,NCAA-Varsity,
Artistic Gymnastics,Suni,Lee,F,Auburn University,Gymnastics,NCAA-Varsity,
Artistic Swimming,Audrey,Kwon,F,Stanford University,Artistic Swimming,Non NCAA-Varsity,Current
Artistic Swimming,Jacklyn,Luu,F,Stanford University,Artistic Swimming,Non NCAA-Varsity,
Artistic Swimming,Megumi,Field,F,Stanford University,Artistic Swimming,Non NCAA-Varsity,Current
Artistic Swimming,Ruby,Remati,F,Ohio State University--Columbus,Artistic Swimming,Non NCAA-Varsity,Current
Athletics,Clayton,Young,M,Brigham Young University--Provo,Track and field,NCAA-Varsity,
Athletics,Conner,Mantz,M,Brigham Young University--Provo,Track and field,NCAA-Varsity,
Athletics,Dakotah,Lindwurm,F,Northern State University,Track and field,NCAA-Varsity,
Athletics,Emily,Sisson,F,Providence College,Track and field,NCAA-Varsity,
Athletics,Emily,Sisson,F,University of Wisconsin--Madison,Track and field,NCAA-Varsity,
Athletics,Fiona,O'Keeffe,F,Stanford University,Track and field,NCAA-Varsity,
Athletics,Leonard,Korir,M,Iona College,Track and field,NCAA-Varsity,
Athletics,Grant,Fisher,M,Stanford University,Track and field,NCAA-Varsity,
Athletics,Harrison,Williams,M,Stanford University,Track and field,NCAA-Varsity,
Athletics,Heath,Baldwin,M,Michigan State University,Track and field,NCAA-Varsity,
Athletics,Heath,Baldwin,M,University of Michigan--Ann Arbor,Track and field,NCAA-Varsity,
Athletics,Jasmin,Moore,F,University of Florida,Track and field,NCAA-Varsity,
Athletics,Jasmin,Moore,F,University of Georgia,Track and field,NCAA-Varsity,
Athletics,Joe,Kovacs,M,Pennsylvania State University--University Park,Track and field,NCAA-Varsity,
Athletics,Keturah,Orji,F,University of Georgia,Track and field,NCAA-Varsity,
Athletics,Melissa,Jefferson,F,Coastal Carolina University,Track and field,NCAA-Varsity,
Athletics,Nico,Young,M,Northern Arizona University,Track and field,NCAA-Varsity,Current
